"X","carat","cut","color","clarity","depth","table","price","x","y","z"
7877,0.9,"Premium","H","VS1",62.4,58,4309,6.15,6.19,3.85
2777,0.78,"Good","D","SI1",60.1,61,3253,5.92,5.89,3.55
30712,0.33,"Ideal","E","VS2",61.1,55,738,4.47,4.51,2.74
17749,1.51,"Ideal","I","SI1",62.2,56,7145,7.36,7.27,4.55
7488,1.02,"Premium","F","SI2",62,59,4238,6.42,6.33,3.95
35916,0.43,"Premium","H","SI1",59,58,919,4.96,4.93,2.92
11126,1,"Ideal","F","SI1",62.4,55,4939,6.45,6.37,4
34564,0.38,"Ideal","H","VS1",60.6,57,871,4.7,4.73,2.85
44143,0.6,"Ideal","F","SI2",61.7,56,1562,5.41,5.38,3.33
45430,0.54,"Ideal","I","IF",60.8,56,1669,5.28,5.37,3.24
41409,0.49,"Premium","G","VS2",61,59,1225,5.13,5.06,3.11
9739,0.9,"Premium","H","VVS2",62.4,58,4657,6.15,6.12,3.83
19512,1.23,"Premium","G","VS1",59.6,60,8145,6.94,6.99,4.15
14607,1.21,"Premium","J","VVS1",61.3,59,5893,6.81,6.86,4.19
49588,0.7,"Premium","E","SI2",62,55,2135,5.65,5.61,3.49
35817,0.31,"Ideal","F","IF",62.3,54,914,4.37,4.39,2.73
49753,0.56,"Ideal","H","IF",61.3,55,2157,5.31,5.33,3.26
24963,1.71,"Ideal","H","VS2",62.5,57,13445,7.59,7.63,4.76
52292,0.25,"Very Good","D","VVS2",62.1,57,548,4.02,4.07,2.51
35560,0.35,"Premium","G","VS1",62.3,59,906,4.53,4.49,2.81
38245,0.32,"Ideal","E","IF",62.9,54,1018,4.37,4.41,2.76
33510,0.4,"Very Good","J","IF",62.2,61,828,4.68,4.71,2.92
4682,0.82,"Premium","G","SI1",61.8,58,3674,6.02,5.98,3.71
3421,0.9,"Fair","D","SI1",66.4,59,3382,5.97,5.92,3.95
37765,0.41,"Ideal","E","VS2",61.8,54,999,4.79,4.76,2.95
34827,0.3,"Ideal","H","VVS1",62.4,53,878,4.31,4.28,2.68
20943,1.5,"Premium","E","SI2",60.8,59,9157,7.34,7.36,4.47
2748,0.76,"Ideal","E","VS2",61.5,56,3249,5.89,5.92,3.63
44859,0.51,"Premium","F","VS1",60.7,59,1627,5.11,5.13,3.11
36352,0.4,"Premium","H","VS1",62.7,59,938,4.71,4.63,2.93
51442,0.7,"Ideal","H","SI1",61.7,57,2375,5.7,5.68,3.51
13376,0.24,"Ideal","F","VS1",61.3,56,419,4,4.03,2.46
39084,0.31,"Ideal","E","IF",61.9,56,1060,4.35,4.37,2.7
10400,0.31,"Very Good","G","SI1",63.2,54,593,4.33,4.31,2.73
1553,0.73,"Fair","F","VS1",58.6,66,3002,5.92,5.88,3.46
32128,0.41,"Very Good","J","VS2",63.4,56,784,4.73,4.7,2.99
27365,0.28,"Ideal","E","VVS2",62.1,56,646,4.19,4.21,2.61
10605,1.17,"Very Good","H","SI2",62.7,56,4826,6.68,6.74,4.21
22402,1.5,"Good","G","SI1",63.7,59,10428,7.19,7.23,4.59
19927,1.5,"Very Good","I","SI1",60.7,58,8475,7.34,7.4,4.47
10216,1.26,"Ideal","J","SI2",62.5,53,4742,6.9,6.86,4.3
2882,1.18,"Very Good","E","I1",59.9,63,3278,6.85,6.8,4.09
4015,1.02,"Premium","E","I1",60.4,62,3519,6.52,6.47,3.92
27913,0.26,"Very Good","E","VVS1",61.5,56,657,4.1,4.15,2.53
29465,0.4,"Premium","G","SI1",59.3,59,702,4.8,4.82,2.85
9174,1,"Good","G","SI1",63.3,60,4543,6.24,6.33,3.98
37320,0.35,"Ideal","G","IF",60.2,55,979,4.63,4.64,2.79
7657,1.01,"Ideal","G","SI2",62.8,56,4269,6.4,6.44,4.03
31351,0.34,"Ideal","F","VS1",61.9,55,760,4.49,4.52,2.79
3017,0.73,"Very Good","E","VS2",61.5,58,3307,5.71,5.8,3.54
17656,1,"Good","D","VS2",63.1,56,7114,6.36,6.4,4.02
42155,0.45,"Premium","E","VS1",60.8,60,1282,4.94,4.9,2.99
459,0.71,"Ideal","E","SI1",61.3,55,2817,5.77,5.72,3.52
27463,2.12,"Very Good","H","SI1",60.7,55,18118,8.28,8.36,5.05
46642,0.3,"Very Good","E","SI1",62.9,57,526,4.25,4.3,2.69
41099,0.4,"Ideal","G","IF",62,57,1193,4.73,4.75,2.94
49633,0.32,"Premium","I","SI1",61.6,61,540,4.4,4.36,2.7
10044,0.31,"Ideal","J","SI1",61.3,56,418,4.37,4.4,2.69
28390,0.33,"Ideal","H","VS2",60.7,57,668,4.48,4.45,2.71
14666,1.01,"Very Good","G","VS2",63,57,5919,6.35,6.42,4.02
26226,1.52,"Good","E","VS1",63.9,56,15649,7.21,7.25,4.62
25658,1.77,"Very Good","D","SI1",59.2,61,14561,7.86,7.98,4.69
7132,1.08,"Premium","J","SI1",61,60,4173,6.62,6.57,4.02
38920,0.33,"Premium","G","IF",60.8,58,1052,4.46,4.42,2.7
31319,0.32,"Ideal","D","VS2",61.5,56,758,4.39,4.42,2.71
19360,0.27,"Very Good","D","VVS2",62.3,57,622,4.13,4.15,2.58
28871,0.32,"Premium","F","SI1",59.3,58,684,4.5,4.47,2.66
22344,1.24,"Ideal","G","VVS2",61.4,58,10395,6.88,6.92,4.24
33227,0.36,"Very Good","G","VVS2",61.9,58,821,4.54,4.6,2.83
50705,0.71,"Ideal","F","SI2",60.7,57,2291,5.78,5.81,3.52
53804,0.9,"Good","H","SI1",63.8,56,2732,6.07,6.02,3.86
18300,1.47,"Very Good","H","SI2",62.6,58,7438,7.17,7.24,4.51
51953,0.56,"Very Good","E","VVS2",60.7,57,2442,5.31,5.36,3.24
25871,1.8,"Ideal","I","VS1",62.4,54,14959,7.77,7.8,4.86
20878,2.02,"Fair","J","SI2",67.5,59,9095,7.76,7.65,5.2
29851,0.3,"Premium","D","VS2",60.7,60,710,4.33,4.37,2.64
36385,0.38,"Premium","D","SI1",60.7,60,941,4.69,4.63,2.83
35602,0.31,"Premium","H","VVS1",62.1,58,907,4.36,4.33,2.7
8539,0.91,"Ideal","E","SI1",60.8,57,4429,6.27,6.29,3.82
35914,0.39,"Ideal","F","SI1",61.3,56,919,4.69,4.72,2.88
36671,0.49,"Premium","E","SI2",61.7,57,949,5.08,5.06,3.13
29343,0.31,"Ideal","G","VS2",59.6,57,698,4.43,4.4,2.63
47159,0.55,"Ideal","G","VS2",61.2,55,1833,5.3,5.35,3.26
34162,0.33,"Premium","G","VS1",61.4,59,854,4.49,4.43,2.74
53603,0.7,"Ideal","F","SI1",61,56,2700,5.75,5.72,3.5
860,0.73,"Good","E","SI1",63.6,57,2871,5.7,5.72,3.63
35351,0.42,"Ideal","H","SI1",62.4,57,898,4.79,4.76,2.98
18117,1.3,"Very Good","I","VS1",62.1,59,7333,6.97,7.01,4.34
15954,1.24,"Premium","I","VVS2",62.7,58,6383,6.85,6.89,4.31
46910,0.72,"Very Good","J","VS2",63.2,60,1814,5.77,5.7,3.63
11341,1.01,"Premium","F","SI1",59.7,61,4989,6.55,6.49,3.89
24243,1.72,"Very Good","I","VS1",60.5,59,12451,7.72,7.76,4.68
46738,0.72,"Very Good","H","SI2",63.5,55,1799,5.66,5.62,3.58
8905,1.21,"Premium","J","SI1",59.7,60,4492,6.9,6.93,4.13
36829,0.33,"Ideal","F","IF",62.2,53,957,4.46,4.48,2.78
52461,0.71,"Premium","E","SI1",61.8,56,2516,5.77,5.72,3.55
41218,0.7,"Premium","G","I1",62.3,56,1206,5.66,5.61,3.51
1963,0.73,"Ideal","G","SI1",61.4,57,3089,5.74,5.79,3.54
23294,1.5,"Premium","H","VS2",60,62,11322,7.41,7.38,4.44
11269,1.01,"Very Good","F","SI1",60.3,60,4972,6.46,6.55,3.92
27103,2,"Very Good","H","SI1",62.7,56,17247,7.98,8.02,5.02
17819,1.5,"Premium","E","SI2",61.5,60,7182,7.29,7.22,4.46
1923,0.71,"Premium","F","VS1",58.6,62,3082,5.88,5.82,3.43
31466,0.34,"Very Good","I","VVS2",63.1,56,765,4.47,4.43,2.81
5178,1.29,"Very Good","F","I1",58.2,61,3774,7.11,7.15,4.15
8482,1,"Good","G","SI1",62.2,62,4416,6.34,6.39,3.96
49618,0.72,"Ideal","G","SI2",62.1,59,2139,5.71,5.76,3.56
40931,0.3,"Ideal","E","SI1",62.3,57,499,4.29,4.31,2.68
13102,1.17,"Ideal","H","SI2",62.4,53,5423,6.74,6.76,4.21
47695,0.5,"Ideal","G","VVS1",62.2,54,1883,5.1,5.13,3.18
48775,0.7,"Premium","H","SI1",62.3,58,2020,5.63,5.57,3.49
34696,0.3,"Ideal","F","IF",60.8,57,873,4.34,4.38,2.65
43289,0.31,"Ideal","H","VS2",61.4,56,507,4.38,4.42,2.7
25640,2.04,"Very Good","J","VS1",62.6,58,14527,8.06,8.11,5.06
16011,1.33,"Premium","H","SI2",62.8,52,6405,7.15,7.06,4.46
37262,0.32,"Very Good","I","SI2",63.4,56,480,4.37,4.34,2.76
12636,1,"Premium","F","SI1",62.7,59,5292,6.4,6.36,4
20547,1.52,"Good","D","SI2",63.2,58,8868,7.25,7.31,4.6
3804,0.71,"Very Good","D","VS1",62.9,56,3465,5.65,5.7,3.57
37247,0.3,"Ideal","G","VVS1",61.9,55,976,4.32,4.34,2.68
37015,0.33,"Ideal","G","VVS2",61.5,56,965,4.49,4.45,2.75
37208,0.34,"Ideal","G","IF",61,55,974,4.51,4.54,2.76
49313,0.34,"Ideal","G","SI1",61.5,55,540,4.49,4.52,2.77
18876,1.01,"Premium","F","VVS1",62.5,58,7741,6.35,6.41,3.99
17017,1.52,"Ideal","H","I1",61.6,56,6793,7.75,7.73,4.77
26566,2.02,"Ideal","F","SI2",62.2,57,16256,8.07,8.03,5.01
26584,1.64,"Ideal","G","VS2",61.5,56,16297,7.59,7.62,4.68
41184,0.4,"Ideal","D","VS1",62.9,56,1200,4.71,4.67,2.95
9104,1,"Good","G","SI1",62.5,65,4528,6.24,6.31,3.92
39264,0.38,"Premium","G","VS1",61,58,1069,4.71,4.67,2.86
24378,0.3,"Ideal","G","VVS2",61.1,58,638,4.33,4.35,2.65
13763,1.1,"Ideal","G","SI1",61.6,56,5610,6.59,6.68,4.09
13590,1.08,"Ideal","G","VS2",62.1,57,5559,6.54,6.57,4.07
15828,1.02,"Ideal","G","VS2",60.6,56,6333,6.56,6.52,3.96
4750,0.84,"Ideal","D","SI1",62.4,57,3685,6.03,6.08,3.78
18807,1.51,"Premium","G","SI2",62.4,57,7695,7.35,7.29,4.57
26334,2.01,"Premium","F","SI2",59.5,59,15841,8.24,8.15,4.88
53508,0.71,"Ideal","G","VS1",61,57,2686,5.77,5.74,3.51
26034,0.32,"Premium","G","VS1",59.2,59,645,4.45,4.47,2.64
41609,0.32,"Premium","J","VS2",61.9,59,393,4.35,4.38,2.7
13797,1.19,"Fair","H","SI1",64.4,58,5622,6.69,6.64,4.29
8848,1.01,"Good","E","SI1",64.1,62,4480,6.26,6.19,3.99
51674,0.71,"Ideal","E","SI2",61.2,57,2398,5.74,5.82,3.54
38947,0.31,"Very Good","I","VS1",62.8,55,489,4.31,4.35,2.72
